Id,Predicted
0,pos
1,pos
2,pos
3,pos
4,neg
5,pos
6,neg
7,neg
8,pos
9,pos
10,neg
11,neg
12,neg
13,neg
14,pos
15,pos
16,pos
17,neg
18,neg
19,pos
20,neg
21,neg
22,pos
23,neg
24,pos
25,pos
26,neg
27,neg
28,neg
29,pos
30,pos
31,pos
32,pos
33,neg
34,neg
35,neg
36,pos
37,neg
38,pos
39,neg
40,neg
41,pos
42,pos
43,pos
44,neg
45,neg
46,neg
47,pos
48,pos
49,pos
50,neg
51,neg
52,neg
53,pos
54,pos
55,pos
56,neg
57,neg
58,pos
59,neg
60,neg
61,neg
62,pos
63,neg
64,neg
65,pos
66,pos
67,neg
68,pos
69,pos
70,pos
71,neg
72,pos
73,neg
74,neg
75,pos
76,pos
77,pos
78,pos
79,pos
80,pos
81,neg
82,neg
83,neg
84,pos
85,neg
86,neg
87,pos
88,pos
89,pos
90,neg
91,pos
92,pos
93,neg
94,pos
95,pos
96,pos
97,neg
98,pos
99,neg
100,pos
101,pos
102,pos
103,pos
104,pos
105,pos
106,neg
107,pos
108,neg
109,pos
110,neg
111,neg
112,pos
113,pos
114,pos
115,pos
116,pos
117,pos
118,pos
119,pos
120,neg
121,pos
122,pos
123,pos
124,neg
125,pos
126,neg
127,pos
128,pos
129,neg
130,neg
131,neg
132,neg
133,neg
134,pos
135,pos
136,pos
137,neg
138,neg
139,pos
140,neg
141,neg
142,pos
143,neg
144,pos
145,pos
146,pos
147,neg
148,pos
149,neg
150,neg
151,pos
152,pos
153,pos
154,pos
155,pos
156,pos
157,pos
158,neg
159,pos
160,neg
161,neg
162,pos
163,pos
164,neg
165,pos
166,pos
167,pos
168,pos
169,pos
170,pos
171,pos
172,pos
173,neg
174,pos
175,neg
176,neg
177,pos
178,neg
179,pos
180,pos
181,pos
182,pos
183,pos
184,pos
185,pos
186,neg
187,neg
188,neg
189,neg
190,neg
191,neg
192,pos
193,pos
194,pos
195,neg
196,neg
197,pos
198,pos
199,pos
200,neg
201,pos
202,pos
203,neg
204,pos
205,neg
206,pos
207,pos
208,pos
209,neg
210,pos
211,pos
212,pos
213,pos
214,pos
215,pos
216,pos
217,pos
218,pos
219,pos
220,pos
221,neg
222,neg
223,pos
224,pos
225,neg
226,neg
227,pos
228,pos
229,pos
230,pos
231,pos
232,pos
233,neg
234,pos
235,neg
236,neg
237,neg
238,pos
239,neg
240,pos
241,neg
242,pos
243,pos
244,neg
245,neg
246,pos
247,neg
248,neg
249,pos
250,neg
251,pos
252,neg
253,pos
254,pos
255,neg
256,neg
257,pos
258,neg
259,pos
260,neg
261,neg
262,pos
263,neg
264,pos
265,pos
266,pos
267,neg
268,neg
269,neg
270,pos
271,pos
272,neg
273,pos
274,pos
275,neg
276,neg
